date,value
2024-02-18 09:59:54,4.4
2024-02-18 10:59:54,3.9
2024-02-18 11:59:54,3.6
2024-02-18 12:59:54,4.2
2024-02-18 13:59:54,5.1
2024-02-18 14:59:54,6.2
2024-02-18 15:59:54,7.4
2024-02-18 16:59:54,8.6
2024-02-18 17:59:54,9.9
2024-02-18 18:59:54,10.6
2024-02-18 19:59:54,10.8
2024-02-18 20:59:54,10.7
2024-02-18 21:59:54,10.3
2024-02-18 22:59:54,9.8
2024-02-18 23:59:54,8.8
2024-02-19 00:59:54,6.8
2024-02-19 01:59:54,5.3
2024-02-19 02:59:54,4.5
2024-02-19 03:59:54,4.3
2024-02-19 04:59:54,4.5
2024-02-19 05:59:54,4.9
2024-02-19 06:59:54,5.4
2024-02-19 07:59:54,6
2024-02-19 08:59:54,6.5
2024-02-19 09:59:54,6.8
2024-02-19 10:59:54,6.9
2024-02-19 11:59:54,6.7
2024-02-19 12:59:54,7.1
2024-02-19 13:59:54,7.9
2024-02-19 14:59:54,8.4
2024-02-19 15:59:54,8.6
2024-02-19 16:59:54,8.4
2024-02-19 17:59:54,8
2024-02-19 18:59:54,7.1
2024-02-19 19:59:54,6
2024-02-19 20:59:54,5
2024-02-19 21:59:54,4.4
2024-02-19 22:59:54,4.3
2024-02-19 23:59:54,5
2024-02-20 00:59:54,5.8
2024-02-20 01:59:54,5.7
2024-02-20 02:59:54,5.6
2024-02-20 03:59:54,5.5
2024-02-20 04:59:54,5.4
2024-02-20 05:59:54,5
2024-02-20 06:59:54,4.7
2024-02-20 07:59:54,4.8
2024-02-20 08:59:54,5
2024-02-20 09:59:54,5.4
2024-02-20 10:59:54,5.7
2024-02-20 11:59:54,5.9
2024-02-20 12:59:54,6
2024-02-20 13:59:54,6.2
2024-02-20 14:59:54,6.4
2024-02-20 15:59:54,6.7
2024-02-20 16:59:54,7.2
2024-02-20 17:59:54,8.1
2024-02-20 18:59:54,9.3
2024-02-20 19:59:54,10.3
2024-02-20 20:59:54,10.9
2024-02-20 21:59:54,11.1
2024-02-20 22:59:54,10.7
2024-02-20 23:59:54,9.8
2024-02-21 00:59:54,8.5
2024-02-21 01:59:54,7.4
2024-02-21 02:59:54,6.5
2024-02-21 03:59:54,5.7
2024-02-21 04:59:54,5.1
2024-02-21 05:59:54,4.6
2024-02-21 06:59:54,4.7
2024-02-21 07:59:54,5.1
2024-02-21 08:59:54,5.9
2024-02-21 09:59:54,6.8
2024-02-21 10:59:54,8.1
2024-02-21 11:59:54,9.8
2024-02-21 12:59:54,11.8
2024-02-21 13:59:54,13
2024-02-21 14:59:54,13.6
2024-02-21 15:59:54,13.8
2024-02-21 16:59:54,13.8
2024-02-21 17:59:54,13.6
2024-02-21 18:59:54,12.7
2024-02-21 19:59:54,11.5
2024-02-21 20:59:54,10.5
2024-02-21 21:59:54,9.6
2024-02-21 22:59:54,8.7
2024-02-21 23:59:54,6.8
2024-02-22 00:59:54,4.7
2024-02-22 01:59:54,3.6
2024-02-22 02:59:54,3
2024-02-22 03:59:54,2.5
2024-02-22 04:59:54,2.2
2024-02-22 05:59:54,2.1
2024-02-22 06:59:54,1.9
2024-02-22 07:59:54,1.6
2024-02-22 08:59:54,1.1
2024-02-22 09:59:54,0.5
2024-02-22 10:59:54,-0.3
2024-02-22 11:59:54,-0.6
2024-02-22 12:59:54,-0.5
2024-02-22 13:59:54,-0.4
2024-02-22 14:59:54,-0.4
2024-02-22 15:59:54,-0.5
2024-02-22 16:59:54,-0.8
2024-02-22 17:59:54,-1.5
2024-02-22 18:59:54,-1.8
2024-02-22 19:59:54,-1.4
2024-02-22 20:59:54,-0.8
2024-02-22 21:59:54,0
2024-02-22 22:59:54,1
2024-02-22 23:59:54,2.2
2024-02-23 00:59:54,3.5
2024-02-23 01:59:54,4.3
2024-02-23 02:59:54,4.8
2024-02-23 03:59:54,5.2
2024-02-23 04:59:54,5.6
2024-02-23 05:59:54,5.5
2024-02-23 06:59:54,5.3
2024-02-23 07:59:54,5.6
2024-02-23 08:59:54,5.9
2024-02-23 09:59:54,6.2
2024-02-23 10:59:54,6.4
2024-02-23 11:59:54,6.4
2024-02-23 12:59:54,6.3
2024-02-23 13:59:54,6.7
2024-02-23 14:59:54,7.3
2024-02-23 15:59:54,7.9
2024-02-23 16:59:54,8.4
2024-02-23 17:59:54,9.3
2024-02-23 18:59:54,10.5
2024-02-23 19:59:54,10.7
2024-02-23 20:59:54,10.6
2024-02-23 21:59:54,10.8
2024-02-23 22:59:54,11.4
2024-02-23 23:59:54,12
2024-02-24 00:59:54,12.1
2024-02-24 01:59:54,11.3
2024-02-24 02:59:54,10.4
2024-02-24 03:59:53,9.8
2024-02-24 04:59:53,10
2024-02-24 05:59:53,10.5
2024-02-24 06:59:53,10.7
2024-02-24 07:59:53,10.5
2024-02-24 08:59:53,10
2024-02-24 09:59:53,9.3
2024-02-24 10:59:53,9
2024-02-24 11:59:53,9.3
2024-02-24 12:59:53,10
2024-02-24 13:59:53,10.4
2024-02-24 14:59:53,10.4
2024-02-24 15:59:53,10.1
2024-02-24 16:59:53,9.6
2024-02-24 17:59:53,9
2024-02-24 18:59:53,8.4
2024-02-24 19:59:53,8.2
2024-02-24 20:59:53,8.5
2024-02-24 21:59:53,9
2024-02-24 22:59:53,9.2
2024-02-24 23:59:53,8.6
2024-02-25 00:59:53,7.6
2024-02-25 01:59:53,7.3
2024-02-25 02:59:53,7.9
2024-02-25 03:59:53,8.9
2024-02-25 04:59:53,9.8
2024-02-25 05:59:53,10
2024-02-25 06:59:53,9.9
2024-02-25 07:59:53,9.9
2024-02-25 08:59:53,10
2024-02-25 09:59:53,10
2024-02-25 10:59:53,9.7
2024-02-25 11:59:53,8.8
2024-02-25 12:59:53,7.9
2024-02-25 13:59:53,7.9
2024-02-25 14:59:53,7.9
2024-02-25 15:59:53,7.7
2024-02-25 16:59:53,7.1
2024-02-25 17:59:53,6.5
2024-02-25 18:59:53,6.9
2024-02-25 19:59:53,7.9
2024-02-25 20:59:53,8.4
2024-02-25 21:59:53,8.3
2024-02-25 22:59:53,7.7
2024-02-25 23:59:53,7.2
2024-02-26 00:59:53,7.5
2024-02-26 01:59:53,7.6
2024-02-26 02:59:53,7.3
2024-02-26 03:59:53,6.7
2024-02-26 04:59:53,6.1
2024-02-26 05:59:53,5.7
2024-02-26 06:59:53,5.1
2024-02-26 07:59:53,4.6
2024-02-26 08:59:53,4
2024-02-26 09:59:53,3.5
2024-02-26 10:59:53,3.1
2024-02-26 11:59:53,2.8
2024-02-26 12:59:53,2.4
2024-02-26 13:59:53,2.4
2024-02-26 14:59:53,2.6
2024-02-26 15:59:53,2.9
2024-02-26 16:59:53,3
2024-02-26 17:59:53,2.9
2024-02-26 18:59:53,2.4
2024-02-26 19:59:53,2.3
2024-02-26 20:59:53,2.6
2024-02-26 21:59:53,3.3
2024-02-26 22:59:53,4.2
2024-02-26 23:59:53,4.9
2024-02-27 00:59:53,4.9
2024-02-27 01:59:53,4.3
2024-02-27 02:59:53,3.8
2024-02-27 03:59:53,3.9
2024-02-27 04:59:53,4.6
2024-02-27 05:59:53,5.7
2024-02-27 06:59:53,5.9
2024-02-27 07:59:53,5.2
2024-02-27 08:59:53,4.3
2024-02-27 09:59:53,3.8
2024-02-27 10:59:53,4.1
2024-02-27 11:59:53,5.2
2024-02-27 12:59:53,6.2
2024-02-27 13:59:53,6.3
2024-02-27 14:59:53,5.7
2024-02-27 15:59:53,4.7
2024-02-27 16:59:53,3.9
2024-02-27 17:59:53,4
2024-02-27 18:59:53,5.4
2024-02-27 19:59:53,6.6
2024-02-27 20:59:53,7.1
2024-02-27 21:59:53,6.8
2024-02-27 22:59:53,6.1
2024-02-27 23:59:53,4.8
2024-02-28 00:59:53,4
2024-02-28 01:59:53,4
2024-02-28 02:59:53,4.5
2024-02-28 03:59:53,5.3
2024-02-28 04:59:53,5.7
2024-02-28 05:59:53,5.3
2024-02-28 06:59:53,3.8
2024-02-28 07:59:53,2.8
2024-02-28 08:59:53,2.1
2024-02-28 09:59:53,1.7
2024-02-28 10:59:53,1.6
2024-02-28 11:59:53,2
2024-02-28 12:59:53,2.9
2024-02-28 13:59:53,3.8
2024-02-28 14:59:53,4.4
2024-02-28 15:59:53,4.7
2024-02-28 16:59:53,4.7
2024-02-28 17:59:53,4.3
2024-02-28 18:59:53,3.8
2024-02-28 19:59:53,3.7
2024-02-28 20:59:53,3.9
2024-02-28 21:59:53,4.5
2024-02-28 22:59:53,5.2
2024-02-28 23:59:53,6
2024-02-29 00:59:53,6.5
2024-02-29 01:59:53,6.5
2024-02-29 02:59:53,5.9
2024-02-29 03:59:53,4.9
2024-02-29 04:59:53,4
2024-02-29 05:59:53,4
2024-02-29 06:59:53,5.4
2024-02-29 07:59:53,6.7
2024-02-29 08:59:53,7.7
2024-02-29 09:59:53,8.1
2024-02-29 10:59:53,8.1
2024-02-29 11:59:53,7.1
2024-02-29 12:59:53,5.4
2024-02-29 13:59:53,4.3
2024-02-29 14:59:53,4.3
2024-02-29 15:59:53,5.3
2024-02-29 16:59:53,6.8
2024-02-29 17:59:53,7.7
2024-02-29 18:59:53,7.2
2024-02-29 19:59:53,6.3
2024-02-29 20:59:53,5.5
2024-02-29 21:59:53,4.6
2024-02-29 22:59:53,4
2024-02-29 23:59:53,4.2
2024-03-01 00:59:53,5.5
2024-03-01 01:59:53,6.6
2024-03-01 02:59:53,7
2024-03-01 03:59:53,6.5
2024-03-01 04:59:53,5.5
2024-03-01 05:59:53,4.6
2024-03-01 06:59:53,4.7
2024-03-01 07:59:53,5.6
2024-03-01 08:59:53,6.8
2024-03-01 09:59:53,7.9
2024-03-01 10:59:53,8.7
2024-03-01 11:59:53,8.7
2024-03-01 12:59:53,7.4
2024-03-01 13:59:53,6.3
2024-03-01 14:59:53,5.9
2024-03-01 15:59:53,6.1
2024-03-01 16:59:53,6.9
2024-03-01 17:59:53,7.9
2024-03-01 18:59:53,8.3
2024-03-01 19:59:53,8
2024-03-01 20:59:53,6.9
2024-03-01 21:59:53,5.6
2024-03-01 22:59:53,4.8
2024-03-01 23:59:53,5.2
2024-03-02 00:59:53,6.5
2024-03-02 01:59:53,7.6
2024-03-02 02:59:53,8.2
2024-03-02 03:59:53,8.3
2024-03-02 04:59:53,7.9
2024-03-02 05:59:53,6.9
2024-03-02 06:59:53,5.8
2024-03-02 07:59:53,5.3
2024-03-02 08:59:53,5.6
2024-03-02 09:59:53,6.5
2024-03-02 10:59:53,7.5
2024-03-02 11:59:53,7.9
2024-03-02 12:59:53,7.5
2024-03-02 13:59:53,6.6
